Country, Variable, Unit, Symbol," ""1965"""," ""1970"""," ""1975"""," ""1980"""," ""1985"""," ""1995"""," ""2000"""," ""2002"""," ""2005"""," ""2007"""," ""2010"""," ""2012"""," ""2015"""," ""2017"""," ""2020"""
Belize, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , ,0.13,0.12,0.16,0.15,0.16,0.19,0.2,0.17,0.16
Belize, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,42.04,55.56,65.14,78.25,81.14,86.49,86.81,96.73,101.93,88.04
Belize, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , , ,7.93,9,10.55,11.39,12.21,12.38,12.89,13.41,11.53
Belize, SDG 6.4.2. Water Stress, %, E, , , , , ,0.72,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26
Benin, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , ,0.24, , , , , , , , , , 
Benin, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , ,0.35,0.24,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
Benin, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , ,21.26,41.34,42.63,46.57,48.55,46.64,46.49,44.73,57.11,59.46,70.47
Benin, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , ,0.05,0.08,0.09,0.17,0.22,0.25,0.3,0.51,0.61,0.69
Benin, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , ,38.23,40.29,43.15,37.01,27.72,26.15,24.52,27.25,35.3,42.12,48.97
Benin, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , ,15.91,22.23,23.37,21.65,21.13,20.81,22.53,29.75,33.88,39.55
Benin, SDG 6.4.2. Water Stress, %, E, , , , ,0.83,1.13,1,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
Bhutan, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , , , , , , ,0.41,0.41,0.41,0.41,0.41
Bhutan, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,45.37,61.57,81.42,92.26,100.41,131.69,172.1,185.38,213.13,212.11
Bhutan, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , , , , , ,0.22,0.23,0.28,0.33,0.37
Bhutan, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,18.6,24.15,25.25,31.46,41.48,49.88,51.41,62.88,68.95,76.39
Bhutan, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , , , , , , ,3.88,4.33,5.07,5.67,6.07
Bhutan, SDG 6.4.2. Water Stress, %, E, , , , , , , , , , ,1.41,1.41,1.41,1.41,1.41
Bolivia (Plurinational State of), Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , ,0.27,0.31,0.32,0.33,0.33,0.33,0.33,0.33,0.33,0.33
Bolivia (Plurinational State of), SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,73.7,89.39,98.09,127.58,166.23,220.77,239.59,238.78,271.46,258.98
Bolivia (Plurinational State of), SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , ,0.16,0.16,0.16,0.14,0.17,0.18,0.2,0.39,0.42
Bolivia (Plurinational State of), SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,57.18,72.82,75.46,74.53,73.28,84.97,86.99,116.53,134.12,132.27
Bolivia (Plurinational State of), SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , , ,7.01,7.18,7.36,7.68,9.07,9.5,11.43,13.25,12.97
Bolivia (Plurinational State of), SDG 6.4.2. Water Stress, %, E, , , , , ,0.97,1.11,1.13,1.15,1.17,1.18,1.18,1.18,1.18,1.18
Bosnia and Herzegovina, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , , ,148.84,89.28,67.7,65.86,59.15,35.35,47.83,46.06,51.12
Bosnia and Herzegovina, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , , ,17.52,19.13,21.77,23.82,25.02,26.05,28.81,28.94,34.35
Bosnia and Herzegovina, SDG 6.4.2. Water Stress, %, E, , , , , , ,2.47,2.49,2.51,2.59,2.89,2.91,2.78,2.66,2
Botswana, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , ,0.52,0.65, , , , ,0.61,0.56,0.56,0.67
Botswana, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , , , ,0.65,0.63,0.62,0.61, , , , 
Botswana, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,90.33,97.38,93.4,97.35,118.63,106.78,105.54,139.71,190.85,122.25
Botswana, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , ,0.03,0.02,0.02,0.02,0.02,0.03,0.04,0.07,0.09,0.08
Botswana, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,54.7,42.86,48.45,48.59,56.7,70.43,86.31,94.5,92.46,90.46
Botswana, SDG 6.4.1. Water Use Efficiency, USD/m3, E, , , , , ,37.21,35.03,37.44,39.46,46.53,50.03,56.91,67.7,71.37,61.35
Botswana, SDG 6.4.2. Water Stress, %, E, , , , ,0.94,1.5,2.03,2.03,2.04,2.05,2.06,2.03,1.96,2.02,2.31
Brazil, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , , , , , , ,0.52, ,0.4,0.46,0.48
Brazil, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , , ,0.38,0.37,0.37,0.4, ,0.46, , , 
Brazil, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , , ,24.1,24.24,28.81,28.78,27.95,27.66,24.2,29.37,28.47
Brazil, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , ,0.22,0.28,0.29,0.3,0.27,0.34,0.44,0.39,0.51
Brazil, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , , ,54.17,52.45,51.19,55.22,59.38,65.49,70.44,69.33,70.61
Brazil, SDG 6.4.1. Water Use Efficiency, USD/m3, E, , , , , , , , , ,19.76,18.57,21.07,23.29,22.16,21.29
Brazil, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , , ,17.35,17.7,19.18, , , , , , 
Brazil, SDG 6.4.2. Water Stress, %, E, , , , , ,2.49,2.65,2.68,2.73,2.94,3.54,3.3,3.02,3.11,1.48
Brunei Darussalam, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , ,0.06, , , , , , , , , 
Brunei Darussalam, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , , ,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Brunei Darussalam, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , ,5.89,5.55,6.32,5.69,4.33,4.72,4.41,7.06,6.87,7.94
Brunei Darussalam, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , , , , ,25.36,27.15,28.48,25.9,34.37,35.26,37.73
Brunei Darussalam, SDG 6.4.2. Water Stress, %, E, , , , , ,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47
Bulgaria, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , , ,5.56,3.49, ,3.28,4.41,4.46,3.89,3.92,3.56
Bulgaria, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , ,8, , ,4.17, , , , , , 
Bulgaria, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,1.15,1.47,1.34,1.78,2.29,2.31,2.72,2.54,2.67,2.93
Bulgaria, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , ,0.03,0.06,0.07,0.09,0.12,0.03,0.08,0.11,0.12,0.11
Bulgaria, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,26.6,14.91,18.77,22.26,26.08,31.94,31.64,35.43,37.11,42.37
Bulgaria, SDG 6.4.1. Water Use Efficiency, USD/m3, E, , , , , , , ,4.03,4.79,5.91,6.65,7.08,7.44,7.81,9.02
Bulgaria, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , ,4.09,3.82, , , , , , , , 
Bulgaria, SDG 6.4.2. Water Stress, %, E, , , ,104.81,104.15,50.84,45.33,48.7,46.98,45.84,44.05,42.24,41.61,41.82,37.52
Burkina Faso, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , ,1.7, , , ,3.12, , , , , , 
Burkina Faso, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , ,2.54,3.02,3.12, ,3.12,3.12,3.12,3.12,3.12,3.12
Burkina Faso, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,275.93,66.53,61.32,61.8,76.3,105.18,124.8,128.23,149.2,204.96
Burkina Faso, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , ,0.04,0.02,0.02,0.03,0.03,0.04,0.05,0.06,0.06,0.07
Burkina Faso, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , ,19.88,19.82,8.9,8.48,8.4,10.07,10.41,11.23,14.08,15.86,17.18
Burkina Faso, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , ,5.98,5.07,5.06,5.51,6.66,7.59,8.49,9.89,11.27,13.36
Burkina Faso, SDG 6.4.2. Water Stress, %, E, , , , ,2.77,4.15,6.2,6.85,7.82,7.82,7.82,7.82,7.82,7.82,7.82
Burundi, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , , ,1.77, , , , , , , , 
Burundi, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , ,1.29, ,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77
Burundi, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,28.83,16.41,18.35,20.4,22.58,23.62,25.88,27.78,32.85,38.4
Burundi, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , ,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.06,0.06
